Abominable,Static,"The user ignores the Recoil Keyword when attacking, and does not gain injuries from Massive Damage.",,,,"The user ignores the Recoil Keyword when attacking, and does not gain injuries from Massive Damage."
Fashion Designer,Daily - Extended Action,"The user knows how to make useful accessories from mere common leaves. The user may craft one of the consumable Held Items below by activating this ability. Lucky Leaf - Grass Type Booster for one encounter. Tasty Reeds - Bug Type Booster for one encounter. Dew Cup - Same Effect as an Occa Berry. Thorn Mantle - Same Effect as a Coba Berry. Chewy Cluster - Same Effect as Leftovers. Decorative Twine – Roll +2d6 on any Move during a Contest.",,,,"The user knows how to make useful accessories from mere common leaves. The user may craft one of the consumable Held Items below by activating this ability. Lucky Leaf - Grass Type Booster for one encounter. Tasty Reeds - Bug Type Booster for one encounter. Dew Cup - Same Effect as an Occa Berry. Thorn Mantle - Same Effect as a Coba Berry. Chewy Cluster - Same Effect as Leftovers. Decorative Twine – Roll +2d6 on any Move during a Contest."
Fiery Crash,Static,"Whenever the user uses a Move with the Dash keyword, they may either increase that Move’s Damage Base by +2, or change the Move to be Fire-Type if it was not already. All Moves with the Dash keyword performed as Fire-Typed burn their target on 19+, or increase the effect range by +2 if they could already inflict Burn.",,,,"Whenever the user uses a Move with the Dash keyword, they may either increase that Move’s Damage Base by +2, or change the Move to be Fire-Type if it was not already. All Moves with the Dash keyword performed as Fire-Typed burn their target on 19+, or increase the effect range by +2 if they could already inflict Burn."
Filter,Static,"When the user is hit by a Super-Effective attack, the attack deals x1.25 damage instead of x1.5 damage. If the user is hit by a Super-Super-Effective attack, the attack deals x1.5 damage instead of x2 damage. If you have both Solid Rock and Filter, you gain 5 Damage Reduction against Super-Effective Damage. Defensive.",,,,"When the user is hit by a Super-Effective attack, the attack deals x1.25 damage instead of x1.5 damage. If the user is hit by a Super-Super-Effective attack, the attack deals x1.5 damage instead of x2 damage. If you have both Solid Rock and Filter, you gain 5 Damage Reduction against Super-Effective Damage. Defensive."
Flame Body,Scene -  Free Action,The attacking foe becomes Burned.,The user is hit by a Melee Attack,,,"Trigger - The user is hit by a Melee Attack The attacking foe becomes Burned."
Flame Tongue,Scene -  Free Action,Connection - Lick. The foe hit with Lick gains an Injury and becomes Burned.,The user hits a foe with Lick.,,,"Trigger - The user hits a foe with Lick. Connection - Lick. The foe hit with Lick gains an Injury and becomes Burned."
Flare Boost,Static,"While Burned, the user’s Special Attack is raised by 2 Combat Stages. If the user is cured of its Burn, its Special Attack is lowered by 2 Combat Stages.",,,,"While Burned, the user’s Special Attack is raised by 2 Combat Stages. If the user is cured of its Burn, its Special Attack is lowered by 2 Combat Stages."
Flash Fire,Static,"The user is immune to the damage and effects of Fire-Type attacks. If the user is hit by a Fire-Type attack, the user gains a +5 Bonus to their next Damage Roll with a Fire-Type Move. Defensive.",,,,"The user is immune to the damage and effects of Fire-Type attacks. If the user is hit by a Fire-Type attack, the user gains a +5 Bonus to their next Damage Roll with a Fire-Type Move. Defensive."
Fluffy Charge,Static,"Connection - Charge.  Whenever the user uses Charge, they gain +1 CS to Defense.",,,,"Connection - Charge.  Whenever the user uses Charge, they gain +1 CS to Defense."
Flower Gift,Scene -  Free Action,"If it is Sunny, Flower Gift creates a 4-meter Burst. The user and all of their allies in the burst gain +2 Combat Stages, distributed among any Stat or Stats as they wish.",,,Burst,"Keywords - Burst If it is Sunny, Flower Gift creates a 4-meter Burst. The user and all of their allies in the burst gain +2 Combat Stages, distributed among any Stat or Stats as they wish."
Flower Power,At Will - Extended Action,"The target gains Flower Power for the rest of the day. While the target has Flower Power, they gain a +1 bonus to Skill Checks. A Pokémon with Flower Power may choose to expend their Flower Power when making an Accuracy Roll with a Grass-Type Move or when making a Save Check to gain a +2 Bonus to that roll. This Ability may target a specific target only once per day.",,A Grass Type Pokemon.,,"Trigger - A Grass Type Pokemon. Target - A Grass Type Pokemon. The target gains Flower Power for the rest of the day. While the target has Flower Power, they gain a +1 bonus to Skill Checks. A Pokémon with Flower Power may choose to expend their Flower Power when making an Accuracy Roll with a Grass-Type Move or when making a Save Check to gain a +2 Bonus to that roll. This Ability may target a specific target only once per day."
Flower Veil,Static,Allied Grass-Type Pokémon within 10 meters cannot have Combat Stages lowered. Defensive.,,,,Allied Grass-Type Pokémon within 10 meters cannot have Combat Stages lowered. Defensive.
Flutter,At Will - Shift Action,The user gains +3 Evasion until the end of their next turn and cannot be Flanked.,,,,The user gains +3 Evasion until the end of their next turn and cannot be Flanked.
Flying Fly Trap,Static,The Pokémon takes no damage from Ground Type Moves and Bug Type Moves. Defensive.,,,,The Pokémon takes no damage from Ground Type Moves and Bug Type Moves. Defensive.
Focus,Static,The user gains Last Chance with Fighting.,,,Last Chance,"Keywords - Last Chance The user gains Last Chance with Fighting."
Forecast,Static,"The user’s Type changes depending on the weather. It changes to Fire Type if it is Sunny, Ice Type if it is Hailing, Water Type if it is Rainy, and Rock Type if there is a Sandstorm. It returns to Normal Type if it is in normal weather or foggy weather. If there are multiple Weather Effects on the field, choose one type for the user to be that corresponds with an existing Weather Effect.",,,,"The user’s Type changes depending on the weather. It changes to Fire Type if it is Sunny, Ice Type if it is Hailing, Water Type if it is Rainy, and Rock Type if there is a Sandstorm. It returns to Normal Type if it is in normal weather or foggy weather. If there are multiple Weather Effects on the field, choose one type for the user to be that corresponds with an existing Weather Effect."
Forest Lord,Scene x2 - Shift Action,"This turn, the user may originate a Grass or Ghost-Typed Move from any fully grown tree within 10 meters. Moves performed this way gain a +2 Bonus on their Accuracy Roll.",,,,Their turn the user may originate a Grass or Ghost Type Move from any fully grown tree within 10 meters.  Moves performed this way gain a +2 Bonus on their Accuracy Rolls.
Forewarn,Scene -  Free Action,"The Move with the highest Damage Dice Roll known by the targeted foe is revealed. If there is a tie, all tied Moves are revealed. The Moves revealed gain a -2 Penalty during Accuracy Checks when used by the target for the rest of the encounter.",,A Pokémon or Trainer,,"Trigger - A Pokémon or Trainer Target - A Pokémon or Trainer The Move with the highest Damage Dice Roll known by the targeted foe is revealed. If there is a tie, all tied Moves are revealed. The Moves revealed gain a -2 Penalty during Accuracy Checks when used by the target for the rest of the encounter."
Fox Fire,Scene - Standard Action,"The user creates 3 Fire Wisps. Whenever the user is targeted by a foe within 6 meters, they may spend a Fire Wisp as an Interrupt to use the Move Ember against that foe as a Free Action, as if it was on their Move List.",,,,"The user creates 3 Fire Wisps. Whenever the user is targeted by a foe within 6 meters, they may spend a Fire Wisp as an Interrupt to use the Move Ember against that foe as a Free Action, as if it was on their Move List."
Freezing Point,Trigger,The user gains Last Chance with Ice.,,,Last Chance,"Keywords - Last Chance The user gains Last Chance with Ice."
Friend Guard,Scene -  Free Action,The damage is resisted one step further. Defensive.,An adjacent Ally takes Damage,,,"Trigger - An adjacent Ally takes Damage The damage is resisted one step further. Defensive."
Frighten,Scene - Swift Action,Lower the target's Speed 2 Combat Stages.,,Pokémon or Trainer within 5 meters,,"Target - Pokémon or Trainer within 5 meters Lower the target's Speed 2 Combat Stages."
Frisk,Scene -  Free Action,"The target reveals their Type, Ability, Nature, Level, and name of any Held Items they are currently holding, if any.",,An Adjacent Pokémon,,"Target - An Adjacent Pokémon The target reveals their Type, Ability, Nature, Level, and name of any Held Items they are currently holding, if any."
Frostbite,Static,"The user's damaging Ice Type attacks cause the target to become Slowed on 18+, and the Effect Range for Freeze on these Moves is increased by +1. If the Move does not cause Freezing, it now causes Freezing on a roll of 20.",,,,"The user's damaging Ice Type attacks cause the target to become Slowed on 18+, and the Effect Range for Freeze on these Moves is increased by +1. If the Move does not cause Freezing, it now causes Freezing on a roll of 20."
Fur Coat,Static,The user resists all Physical Attacks one step further. Defensive.,,,,The user resists all Physical Attacks one step further. Defensive.
Gale Wings,Static,The user may use Flying Type Moves as if they have the Priority Keyword.,,,,The user may use Flying Type Moves as if they have the Priority Keyword.
Gardener,Daily x3 - Extended Action,"Increase the Soil Quality of the plant by +1, as if Mulch has been applied.  This may target a Specific Plant only once per day.",,A yielding Plant,,"Target - A yielding Plant Increase the Soil Quality of the plant by +1, as if Mulch has been applied.  This may target a Specific Plant only once per day."
Gentle Vibe,Scene - Standard Action,"Burst 2.  All targets in the Burst, including the user, have their Combat Stages reset and are cured of any Volatile Status ailments.",,,,"Burst 2.  All targets in the Burst, including the user, have their Combat Stages reset and are cured of any Volatile Status ailments."
Gluttony,Static,"The user may have up to three Digestion/Food Buffs at once, and may eat up to two refreshments per half hour.",,,,"The user may have up to three Digestion/Food Buffs at once, and may eat up to two refreshments per half hour."
Gooey,At Will - Free Action,The triggering attacker has their Speed lowered by 1 Combat Stage.,The user is hit by a Melee Attack.,,,"Trigger - The user is hit by a Melee Attack. The triggering attacker has their Speed lowered by 1 Combat Stage."
Gore,Static,"Connection - Horn Attack. Whenever the user uses Horn Attack, they may push the target away 1 meter. Additionally, Horn Attack has a Critical Range of 18-20 for the user.",,,,"Connection - Horn Attack. Whenever the user uses Horn Attack, they may push the target away 1 meter. Additionally, Horn Attack has a Critical Range of 18-20 for the user."
Grass Pelt,Static,"When standing on any grassy or leafy terrain that is either Slow or Rough Terrain, the user gains +5 Damage Reduction. Defensive.",,,,"When standing on any grassy or leafy terrain that is either Slow or Rough Terrain, the user gains +5 Damage Reduction. Defensive."
Gulp,Daily -  Extended Action,"If the user is allowed to spend time fully submerged in water for at least 10 minutes, they may heal up to 25% of their Max Hit Points, and remove one Injury.",,,,"If the user is allowed to spend time fully submerged in water for at least 10 minutes, they may heal up to 25% of their Max Hit Points, and remove one Injury."
Guts,Static,"While suffering from Burn, Poison, Paralysis, Freezing, or while Asleep, the user’s Attack is raised 2 Combat Stages. If suffering from none of these conditions, the user loses any Combat Stages gained this way.",,,,"While suffering from Burn, Poison, Paralysis, Freezing, or while Asleep, the user’s Attack is raised 2 Combat Stages. If suffering from none of these conditions, the user loses any Combat Stages gained this way."
Harvest,At Will - Free Action,"Whenever the user trades in a Digestion/Food Buff from a Berry, flip a coin. On heads, the user gains all the benefits of the Digestion/Food Buff, but the Buff is not used up. On tails, the Buff is consumed normally. While in Sunny Weather, the Buff is never consumed. The user may trade in a Digestion/Food Buff up to once per turn during an encounter, but only until they flip “Tails”.",,,,"Whenever the user trades in a Digestion/Food Buff from a Berry, flip a coin. On heads, the user gains all the benefits of the Digestion/Food Buff, but the Buff is not used up. On tails, the Buff is consumed normally. While in Sunny Weather, the Buff is never consumed. The user may trade in a Digestion/Food Buff up to once per turn during an encounter, but only until they flip “Tails”."
Haunt,Static,The user gains Last Chance with Ghost.,,,Last Chance,"Keywords - Last Chance The user gains Last Chance with Ghost."
Hay Fever,At-Will - Swift Action,"The user creates a Burst 2 or Close Blast 3 of allergenic pollen. All Trainers and Pokémon in the burst that are not Bug, Grass, or Poison Typed lose a Tick of Hit Points. This Ability cannot be activated in Rainy Weather, Sandstorms, or if it is Hailing.",The user uses a Status Move; or the user ends their turn while Asleep.,,,"Trigger - The user uses a Status Move; or the user ends their turn while Asleep. The user creates a Burst 2 or Close Blast 3 of allergenic pollen. All Trainers and Pokémon in the burst that are not Bug, Grass, or Poison Typed lose a Tick of Hit Points. This Ability cannot be activated in Rainy Weather, Sandstorms, or if it is Hailing."
Healer,Scene -  Free Action,The target is cured of all Status conditions.,,An Adjacent Pokémon or Trainer,,"Target - An Adjacent Pokémon or Trainer The target is cured of all Status conditions."
Heat Mirage,At-Will - Free Action,The user's Evasion is increased by +3 until the beginning of their next turn.,The user uses a Fire-Type Move,,,"Trigger - The user uses a Fire-Type Move The user's Evasion is increased by +3 until the beginning of their next turn."
Heatproof,Static,"The user resists Fire Type moves one step further (Super-Effective Becomes Neutral, Doubly-Super Effective becomes Super-Effective, Neutral becomes Resistant, Resistant becomes doubly Resistant).",,,,"The user resists Fire Type moves one step further (Super-Effective Becomes Neutral, Doubly-Super Effective becomes Super-Effective, Neutral becomes Resistant, Resistant becomes doubly Resistant)."
Heavy Metal,Static,"When referring to Weight Classes, treat the Pokémon as if it is 2 Weight Classes higher.",,,,"When referring to Weight Classes, treat the Pokémon as if it is 2 Weight Classes higher."
Helper,Static,"Connection - Helping Hand.  Whenever the user uses a Move that targets a single Ally, that Ally gains a +1 Bonus to Accuracy and Skill Checks until the end of the user's next turn.",,,,"Connection - Helping Hand.  Whenever the user uses a Move that targets a single Ally, that Ally gains a +1 Bonus to Accuracy and Skill Checks until the end of the user's next turn."
Honey Paws,Static,The user may consume Honey to gain a Digestion/Food Buff as if they had consumed Leftovers. This Digestion/Food Buff does not count against their normal limit.,,,,The user may consume Honey to gain a Digestion/Food Buff as if they had consumed Leftovers. This Digestion/Food Buff does not count against their normal limit.
Honey Thief,Static,"Connection - Bug Bite. If the user uses Bug Bite to steal the effects of a Digestion/Food Buff, they gain a Tick of Temporary Hit Points.",,,,"Connection - Bug Bite. If the user uses Bug Bite to steal the effects of a Digestion/Food Buff, they gain a Tick of Temporary Hit Points."
Huge Power,Static,"The Pokémon's Base Attack stat is doubled. This may double any bonuses from Nature or Vitamins, but not bonuses from Trainer Features.",,,,"The Pokémon's Base Attack stat is doubled. This may double any bonuses from Nature or Vitamins, but not bonuses from Trainer Features."
Hustle,Static,"The user receives a -2 penalty to all Accuracy Rolls with Physical Attacks, and gains a +10 Bonus to all Physical Damage Rolls.",,,,"The user receives a -2 penalty to all Accuracy Rolls with Physical Attacks, and gains a +10 Bonus to all Physical Damage Rolls."
Hydration,Static,"At the end of the user’s turn, if the weather is Rainy, the user is cured of one Status Affliction.",,,,"At the end of the user’s turn, if the weather is Rainy, the user is cured of one Status Affliction."
Hyper Cutter,Static,"The user’s Attack Stat may not be lowered, and its Attack Combat Stages may not be lowered. Defensive.",,,,"The user’s Attack Stat may not be lowered, and its Attack Combat Stages may not be lowered. Defensive."
Hypnotic,Static,"Connection - Hypnosis. When used by the user, Hypnosis cannot miss.",,,,"Connection - Hypnosis. When used by the user, Hypnosis cannot miss."
Ice Body,Static,"While Hailing, the user gains a Tick of Hit Points at the beginning of each of their turns. The user is not damaged by Hail.",,,,"While Hailing, the user gains a Tick of Hit Points at the beginning of each of their turns. The user is not damaged by Hail."
Ice Shield,"Scene - Standard Action, Interrupt","The user places up to 3 segments of Ice Wall; each segment must be continuous with another segment, and at least one must be adjacent to the user. These Ice Walls count as Blocking Terrain and last until the end of the encounter or until they are destroyed. Each Ice Wall segment is 2 meters tall, 1 meter wide, and 2 centimeters thick. Each segment has 10 Hit Points, 5 Damage Reduction, and takes damage as if it was Ice-Type.",,,,"The user places up to 3 segments of Ice Wall; each segment must be continuous with another segment, and at least one must be adjacent to the user. These Ice Walls count as Blocking Terrain and last until the end of the encounter or until they are destroyed. Each Ice Wall segment is 2 meters tall, 1 meter wide, and 2 centimeters thick. Each segment has 10 Hit Points, 5 Damage Reduction, and takes damage as if it was Ice-Type."
Ignition Boost,At-Will - Free Action,The allied target gains a +5 Bonus to its damage roll with the triggering Move.  A target may not benefit from more than one instance of Ignition Boost at a time.  ,An adjacent Ally uses a Fire-Type Move,,,"Trigger - An adjacent Ally uses a Fire-Type Move The allied target gains a +5 Bonus to its damage roll with the triggering Move.  A target may not benefit from more than one instance of Ignition Boost at a time.  "
Illuminate,Static,Attacks that target the user have a -2 Accuracy Penalty against the user. Does not affect attackers with the Blindsense Capability. Defensive.,,,,Attacks that target the user have a -2 Accuracy Penalty against the user. Does not affect attackers with the Blindsense Capability. Defensive.
Illusion,Special,"As a Standard Action, the user may mark an object, Pokémon, or Trainer. The user may have a number of targets marked equal to their Focus Rank; to mark a new target, an old mark must be forfeited. Once per round as a Free Action, the user may use illusory powers to make itself look exactly like a marked target. This may be done as the user is being released from a Poké Ball. This change is aesthetic and does not affect typing or Moves. The illusion allows the user to vaguely mimic sounds made by its marked target, but it is not capable of intelligible speech. Whenever the user is hit by a damaging Move, the Illusion is destroyed. The user may also dismiss the Illusion as a Free Action.",,,,"As a Standard Action, the user may mark an object, Pokémon, or Trainer. The user may have a number of targets marked equal to their Focus Rank; to mark a new target, an old mark must be forfeited. Once per round as a Free Action, the user may use illusory powers to make itself look exactly like a marked target. This may be done as the user is being released from a Poké Ball. This change is aesthetic and does not affect typing or Moves. The illusion allows the user to vaguely mimic sounds made by its marked target, but it is not capable of intelligible speech. Whenever the user is hit by a damaging Move, the Illusion is destroyed. The user may also dismiss the Illusion as a Free Action."
Immunity,Static,The user cannot be Poisoned or Badly Poisoned. Defensive.,,,,The user cannot be Poisoned or Badly Poisoned. Defensive.
Impostor,At-Will,"When Ditto is sent out, it may use the Move Transform as a free action. If the target of Transform has any modified Combat Stages, apply these Combat Stages to Ditto. One of the target’s Abilities is randomly assigned to Ditto until Ditto uses Transform again.",Ditto enters the encounter,,,"Trigger - Ditto enters the encounter When Ditto is sent out, it may use the Move Transform as a free action. If the target of Transform has any modified Combat Stages, apply these Combat Stages to Ditto. One of the target’s Abilities is randomly assigned to Ditto until Ditto uses Transform again."
Infiltrator,Static,"The user gains a +2 Bonus to Stealth Checks, does not trigger Hazards, and Blessings cannot be activated in response to its actions, and the user may bypass the effects of Substitute.",,,,"The user gains a +2 Bonus to Stealth Checks, does not trigger Hazards, and Blessings cannot be activated in response to its actions, and the user may bypass the effects of Substitute."
Inner Focus,Static,"The user cannot be Flinched. If an effect would set the user’s Initiative to 0, their Initiative is not affected. Defensive.",,,,"The user cannot be Flinched. If an effect would set the user’s Initiative to 0, their Initiative is not affected. Defensive."
Insomnia,Static,"The user is immune to the Sleep condition, and cannot use the move Rest. Defensive.",,,,"The user is immune to the Sleep condition, and cannot use the move Rest. Defensive."
Instinct,Static,The user’s default Evasion is increased by +2. Defensive.,,,,The user’s default Evasion is increased by +2. Defensive.
Interference,At-Will - Standard Action,The accuracy of all foes within 3 meters is reduced by -2 until the end of the user's next turn.,,,,The accuracy of all foes within 3 meters is reduced by -2 until the end of the user's next turn.
Intimidate,Scene - Swift Action,Lower the target's Attack 1 Combat Stage.,,Pokémon or Trainer within 5 meters,,"Target - Pokémon or Trainer within 5 meters Lower the target's Attack 1 Combat Stage."
Iron Barbs,At-Will - Free Action,The attacker loses Hit Points equal to Tick of Hit Points.,The user is hit by a damaging Melee Attack,,,"Trigger - The user is hit by a damaging Melee Attack The attacker loses Hit Points equal to Tick of Hit Points."
Iron Fist,Static,"The user increases the Damage Base of the following Moves by +2; Bullet Punch, Comet Punch, Dizzy Punch, Drain Punch, Dynamic Punch, Fire Punch, Meteor Mash, Shadow Punch, Ice Punch, Mach Punch, Mega Punch, Sky Uppercut, Thunder Punch, Focus Punch, Hammer Arm, and Power-Up Punch.",,,,"The user increases the Damage Base of the following Moves by +2; Bullet Punch, Comet Punch, Dizzy Punch, Drain Punch, Dynamic Punch, Fire Punch, Meteor Mash, Shadow Punch, Ice Punch, Mach Punch, Mega Punch, Sky Uppercut, Thunder Punch, Focus Punch, Hammer Arm, and Power-Up Punch."
Justified,At-Will - Free Action,The user may raise its Attack 1 Combat Stage. The user always gains a +4 bonus to Skill Checks made to Intercept.,The user is hit by a damaging Dark Type Move,,,"Trigger - The user is hit by a damaging Dark Type Move The user may raise its Attack 1 Combat Stage. The user always gains a +4 bonus to Skill Checks made to Intercept."
Kampfgeist,Static,The user gainst STAB on Fighting Type Moves.,,,,The user gainst STAB on Fighting Type Moves.
Keen Eye,Static,"The user’s Accuracy cannot be lowered, their attacks cannot have Accuracy Penalties (such as from Illuminate), the user is immune to the Blind condition (but not Total Blindness), and the user ignores any Evasion not directly derived from Stats (such as from the Instinct Ability, or from moves like Minimize).",,,,"The user’s Accuracy cannot be lowered, their attacks cannot have Accuracy Penalties (such as from Illuminate), the user is immune to the Blind condition (but not Total Blindness), and the user ignores any Evasion not directly derived from Stats (such as from the Instinct Ability, or from moves like Minimize)."
Klutz,Static,"The Pokémon ignores the effects of all held Items in its possession. The user may drop Held Items At-Will as a Free Action during their turn, even if they have Status Afflictions that prevent them from taking actions.",,,,"The Pokémon ignores the effects of all held Items in its possession. The user may drop Held Items At-Will as a Free Action during their turn, even if they have Status Afflictions that prevent them from taking actions."
Landslide,Static,The user gains Last Chance with Ground.,,,Last Chance,"Keywords - Last Chance The user gains Last Chance with Ground."
Last Chance,Static,The user gains Last Chance with Normal.,,,Last Chance,"Keywords - Last Chance The user gains Last Chance with Normal."
Leaf Gift,Daily - Extended Action,"The user is adept at crafting clothes for itself out of common leaves. As an extended action, the user may craft a Leaf Suit listed below by activating this Ability; each suit has different effects on the user. The user may only wear one Leaf Suit at a time; building a new suit destroys previous suits.  Nourishing Suit - Effect: Grants the Sun Blanket and Leaf Guard Abilities. Heavy Suit - Effect: Grants the Sturdy and Overcoat Abilities. Vibrant Suit - Effect: Grants the Chlorophyll and Photosynthesis Abilities.",,,,"The user is adept at crafting clothes for itself out of common leaves. As an extended action, the user may craft a Leaf Suit listed below by activating this Ability; each suit has different effects on the user. The user may only wear one Leaf Suit at a time; building a new suit destroys previous suits.  Nourishing Suit - Effect: Grants the Sun Blanket and Leaf Guard Abilities. Heavy Suit - Effect: Grants the Sturdy and Overcoat Abilities. Vibrant Suit - Effect: Grants the Chlorophyll and Photosynthesis Abilities."
Leaf Guard,Static,"At the end of the User's turn, if the weather is Sunny, the user is cured of one Status Condition.",,,,"At the end of the User's turn, if the weather is Sunny, the user is cured of one Status Condition."
Leek Mastery,Static,"Connection - Acrobatics. If the user is holding a Rare Leek, they may still use Acrobatics as if they were not holding an item. The user cannot be disarmed of their Stick, nor can be it be forcefully removed by Trick, Switcheroo, Thief, or any other Moves or effects unless the user wishes it.",,,,"Connection - Acrobatics. If the user is holding a Rare Leek, they may still use Acrobatics as if they were not holding an item. The user cannot be disarmed of their Stick, nor can be it be forcefully removed by Trick, Switcheroo, Thief, or any other Moves or effects unless the user wishes it."
Levitate,Static,"The Pokémon is immune to the damage and effects of Ground Type Moves, and gains a Levitate Speed of 4, or has existing Levitate Speeds increased by +2. Defensive.",,,,"The Pokémon is immune to the damage and effects of Ground Type Moves, and gains a Levitate Speed of 4, or has existing Levitate Speeds increased by +2. Defensive."
Life Force,Daily  - Swift Action,"The user gains a Tick of Hit Points immediately upon activating this Ability, and gains the same amount at the beginning of each of their turns for the following 4 rounds.",,,,"The user gains a Tick of Hit Points immediately upon activating this Ability, and gains the same amount at the beginning of each of their turns for the following 4 rounds."
Light Metal,Static,"When referring to Weight Classes, treat the Pokémon as if it is 2 Weight Classes lower.",,,,"When referring to Weight Classes, treat the Pokémon as if it is 2 Weight Classes lower."
Lightning Kicks,Scene -  Free Action,"The user may activate this Ability to use any Move with ""Kick"" in the name as a Priority Move.",,,,"The user may activate this Ability to use any Move with ""Kick"" in the name as a Priority Move."
Lightning Rod,Scene -  Free Action,"The Move is turned into a Single-Target Move and is re-directed at the user without fail, and cannot miss. This negates Lock-On or Mind Reader. Additionally, the user is immune to the damage and effects of Electric Type attacks, and each time they are hit by an Electric attack, the user’s Special Attack is raised 1 Combat Stage. Defensive.",A ranged Electric Type Move is used within 10 Meters of the user.,,,"Trigger - A ranged Electric Type Move is used within 10 Meters of the user. The Move is turned into a Single-Target Move and is re-directed at the user without fail, and cannot miss. This negates Lock-On or Mind Reader. Additionally, the user is immune to the damage and effects of Electric Type attacks, and each time they are hit by an Electric attack, the user’s Special Attack is raised 1 Combat Stage. Defensive."
Limber,Static,The user is immune to Paralysis. Defensive.,,,,The user is immune to Paralysis. Defensive.
Liquid Ooze,Static,"When the Pokémon with Liquid Ooze is damaged by Absorb, Drain Punch, Giga Drain, Horn Leech, Leech Life, Leech Seed or Mega Drain, that Move gains Recoil ½ and the Move’s user does not gain any HP.",,,,"When the Pokémon with Liquid Ooze is damaged by Absorb, Drain Punch, Giga Drain, Horn Leech, Leech Life, Leech Seed or Mega Drain, that Move gains Recoil ½ and the Move’s user does not gain any HP."
Lullaby,Scene - Free Action,"Connection - Sing. Whenever the user uses the Move “Sing”, they may activate this Feature. The user then picks a Pokémon or Trainer being targeted by Sing; Sing automatically hits that target.",,,,"Connection - Sing. Whenever the user uses the Move “Sing”, they may activate this Feature. The user then picks a Pokémon or Trainer being targeted by Sing; Sing automatically hits that target."
Lunchbox,Scene -  Free Action,The user gains 5 Temporary Hit Points. These Temporary Hit Points stack with any Temporary Hit Points granted by the triggering Buff.,The user trades in a Digestion/Food Buff,,,"Trigger - The user trades in a Digestion/Food Buff The user gains 5 Temporary Hit Points. These Temporary Hit Points stack with any Temporary Hit Points granted by the triggering Buff."
Mach Speed,Static,The user gains Last Chance with Flying.,,,Last Chance,"Keywords - Last Chance The user gains Last Chance with Flying."
Magic Bounce,Scene -  Free Action,The user may reflect the Move back to the attacker. This Ability may be used to change the placement and affiliation of any Hazards being set within 10 meters of the user as well. Defensive.,The user is hit by a Status Move,,,"Trigger - The user is hit by a Status Move The user may reflect the Move back to the attacker. This Ability may be used to change the placement and affiliation of any Hazards being set within 10 meters of the user as well. Defensive."
Magic Guard,Static,"The user is immune to damage and Hit Point loss from Hazards, Weather, Status Afflictions, Vortexes, Recoil, Hay Fever, Iron Barbs, Rough Skin, and Leech Seed. Defensive.",,,,"The user is immune to damage and Hit Point loss from Hazards, Weather, Status Afflictions, Vortexes, Recoil, Hay Fever, Iron Barbs, Rough Skin, and Leech Seed. Defensive."
Magician,Scene - Free Action,The user takes the target’s Held Item. This Ability may not be triggered if the user is already holding a Held Item.,The user hits a foe with a damaging Single-Target attack,,,"Trigger - The user hits a foe with a damaging Single-Target attack The user takes the target’s Held Item. This Ability may not be triggered if the user is already holding a Held Item."
Magma Armor,Static,The user cannot be Frozen. Defensive.,,,,The user cannot be Frozen. Defensive.
Magnet Pull,At-Will - Swift Action,"Until the end of the user's next turn, the target may not move more then 8-meters away from the user and/or may not move closer than 3-meters to the user.",,A Steel-Type Pokémon,,"Target - A Steel-Type Pokémon Until the end of the user's next turn, the target may not move more then 8-meters away from the user and/or may not move closer than 3-meters to the user."
Marvel Scale,Static,"When Asleep, Paralyzed, Burned, Frozen or Poisoned, Marvel Scale raises the user’s Defense by +2 Combat Stages. The Combat Stages return to Normal if the user is cured of their status affliction.",,,,"When Asleep, Paralyzed, Burned, Frozen or Poisoned, Marvel Scale raises the user’s Defense by +2 Combat Stages. The Combat Stages return to Normal if the user is cured of their status affliction."
Mega Launcher,Static,"The user increases the Damage Base of Aura Sphere, Dark Pulse, Dragon Pulse, and Water Pulse by +2.",,,,"The user increases the Damage Base of Aura Sphere, Dark Pulse, Dragon Pulse, and Water Pulse by +2."
Memory Wipe,Scene - Special,"The user selects a Pokémon or Trainer within 10 meters. If used as a Swift Action, the last Move used by the target becomes Disabled. If used as a Standard Action, the target is Flinched. If used as an Extended Action that takes about 1 minute, it can erase up to 5 minutes that have occurred within the last 30 minutes from the target’s memory.",,,,"The user selects a Pokémon or Trainer within 10 meters. If used as a Swift Action, the last Move used by the target becomes Disabled. If used as a Standard Action, the target is Flinched. If used as an Extended Action that takes about 1 minute, it can erase up to 5 minutes that have occurred within the last 30 minutes from the target’s memory."
Migraine,Static,"Whenever the user is at 50% Hit Points or less, they gain the Telekinetic Capability and may add STAB to Psychic Type Moves.",,,,"Whenever the user is at 50% Hit Points or less, they gain the Telekinetic Capability and may add STAB to Psychic Type Moves."
Mimitree,Static,"Connection - Mimic. Whenever the user uses a Move copied by Mimic, they may choose to replace that Move with Mimic once more. When used this way, the user ignores Mimic's Frequency.",,,,"Connection - Mimic. Whenever the user uses a Move copied by Mimic, they may choose to replace that Move with Mimic once more. When used this way, the user ignores Mimic's Frequency."
Mind Mold,Static,The user gains Last Chance with Psychic.,,,Last Chance,"Keywords - Last Chance The user gains Last Chance with Psychic."
